Created at,Shop,Product category,Description,Billed amount,Billed currency,Bill number,Bill date,Cycle start,Cycle end,App name
2025-06-22T22:05:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.14,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.8,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.8,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.21,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.31,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,12.58,USD,382226726,2025-06-22,2025-06-22,2025-06-22,
2025-06-15T22:00:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,382226726,2025-06-22,2025-06-15,2025-06-15,
2025-06-15T22:00:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.34,USD,382226726,2025-06-22,2025-06-15,2025-06-15,
2025-06-15T17:21:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,382226726,2025-06-22,2025-06-15,2025-06-15,
2025-06-15T17:21:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.07,USD,382226726,2025-06-22,2025-06-15,2025-06-15,
2025-06-15T17:21:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,382226726,2025-06-22,2025-06-15,2025-06-15,
2025-06-15T17:21:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.34,USD,382226726,2025-06-22,2025-06-15,2025-06-15,
2025-06-09T01:39:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.49,USD,382226726,2025-06-22,2025-06-09,2025-06-09,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,9.31,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.08,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.31,USD,376188389,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.71,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,11.71,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.08,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.44,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.57,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.33,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.14,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.34,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.49,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-08T20:36:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.52,USD,376188388,2025-06-08,2025-06-08,2025-06-08,
2025-06-04T06:40:13Z,bt1hfe-te.myshopify.com,subscription_fee,Subscription,39.0,USD,374615132,2025-06-04,2025-06-04,2025-07-04,
2025-06-03T16:09:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,8.01,USD,374615132,2025-06-04,2025-06-03,2025-06-03,
2025-06-02T01:10:30Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.84,USD,374615132,2025-06-04,2025-06-02,2025-06-02,
2025-06-01T17:12:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.84,USD,374615132,2025-06-04,2025-06-01,2025-06-01,
2025-06-01T17:12:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,373610025,2025-06-01,2025-06-01,2025-06-01,
2025-06-01T17:12:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,373610025,2025-06-01,2025-06-01,2025-06-01,
2025-06-01T17:12:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,9.27,USD,373610025,2025-06-01,2025-06-01,2025-06-01,
2025-06-01T17:12:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.14,USD,373610025,2025-06-01,2025-06-01,2025-06-01,
2025-06-01T17:12:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.31,USD,373610025,2025-06-01,2025-06-01,2025-06-01,
2025-05-26T13:38:35Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,0.93,USD,373610025,2025-06-01,2025-05-26,2025-05-26,
2025-05-26T01:01:34Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.25,USD,373610025,2025-06-01,2025-05-26,2025-05-26,
2025-05-26T01:01:34Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.31,USD,373610025,2025-06-01,2025-05-26,2025-05-26,
2025-05-26T01:01:34Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.31,USD,373610025,2025-06-01,2025-05-26,2025-05-26,
2025-05-26T01:01:34Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.84,USD,373610025,2025-06-01,2025-05-26,2025-05-26,
